"Stand_CN","Stand_ID","Variant","Inv_Year","Groups","AddFiles","FVSKeywords","Latitude","Longitude","Region","Forest","District","Compartment","Location","Ecoregion","PV_Code","PV_Ref_Code","Age","Aspect","Slope","Elevation","ElevFt","Basal_Area_Factor","Inv_Plot_Size","Brk_DBH","Num_Plots","NonStk_Plots","Sam_Wt","Stk_Pcnt","DG_Trans","DG_Measure","HTG_Trans","HTG_Measure","Mort_Measure","Max_Ba","Max_SDI","Site_Species","Site_Index","Model_Type","Physio_Region","Forest_Type","County","Fuel_Model","Fuel_0_25","Fuel_25_1","Fuel_0_1","Fuel_1_3","Fuel_3_6","Fuel_6_12","Fuel_gt_12","Fuel_Litter","Fuel_Duff","Photo_Ref","Photo_code","GIS_ID","state","streamType","streamSize"
"85690","10016","OP",2014,"0",,,,,6,9,,,609,,"CHS334",,45,0.00,4.00,,0.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10016,"WA",,
"146629","10017","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,142,122.00,2.00,,122.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10017,"WA",,
"142283","10018","OP",2014,"0",,,,,6,9,,,609,,"CS",,32,248.00,1.00,,248.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10018,"WA",,
"85711","10019","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,19,35.00,4.00,,35.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10019,"WA",,
"78955","1002","OP",2014,"0",,,,,6,3,,,603,,"CD",,46,142.59,29.33,,275.44,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.80,,,,,,,,,,,,,,,,,1002,"OR",,
"142331","10020","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,12.00,5.00,,12.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10020,"WA",,
"150459","10021","OP",2014,"0",,,,,6,3,,,603,,"CH",,0,205.00,8.00,,205.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10021,"WA",,
"85711","10022","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,19,62.00,1.00,,62.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10022,"WA",,
"10726","10023","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,121,18.00,5.00,,18.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10023,"OR",,
"84945","10024","OP",2014,"0",,,,,6,9,,,609,,"CSS8",,30,118.00,2.00,,118.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10024,"OR",,
"85711","10025","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,19,221.00,2.00,,221.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10025,"OR",,
"85374","10026","OP",2014,"0",,,,,6,3,,,603,,"CHF125",,20,161.00,5.00,,161.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10026,"OR",,
"142312","10027","OP",2014,"0",,,,,6,9,,,609,,"CC",,87,357.00,3.00,,357.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10027,"OR",,
"136223","10028","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,280.00,2.00,,280.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10028,"WA",,
"89371","10029","OP",2014,"0",,,,,6,9,,,609,,"CF",,17,354.00,0.00,,354.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10029,"OR",,
"30596","1003","OP",2014,"0",,,,,6,3,,,603,,"CHF122",,55,212.92,20.64,,284.07,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.85,,,,,,,,,,,,,,,,,1003,"OR",,
"136223","10030","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,201.00,2.00,,201.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10030,"OR",,
"131551","10031","OP",2014,"0",,,,,6,9,,,609,,"CHS1",,29,206.00,1.00,,206.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10031,"OR",,
"85690","10032","OP",2014,"0",,,,,6,9,,,609,,"CHS334",,45,260.00,4.00,,260.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10032,"OR",,
"90050","10033","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,23,103.00,1.00,,103.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10033,"WA",,
"86601","10034","OP",2014,"0",,,,,6,9,,,609,,"CHS621",,23,-1.00,3.00,,-1.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10034,"WA",,
"89714","10035","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,356.00,1.00,,356.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10035,"WA",,
"131551","10036","OP",2014,"0",,,,,6,9,,,609,,"CHS1",,29,33.00,1.00,,33.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10036,"OR",,
"131726","10037","OP",2014,"0",,,,,6,9,,,609,,"CHS333",,15,38.00,4.00,,38.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",120.00,,,,,,,,,,,,,,,,"Y",10037,"OR",,
"150459","10038","OP",2014,"0",,,,,6,3,,,603,,"CH",,0,10.00,17.00,,10.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10038,"OR",,
"89503","10039","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,27,238.00,1.00,,238.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10039,"OR",,
"141573","1004","OP",2014,"0",,,,,6,12,,,612,,"CWS522",,33,146.85,19.03,,207.50,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.75,,,,,,,,,,,,,,,,,1004,"OR",,
"146714","10040","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,20,184.00,2.00,,184.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10040,"OR",,
"89133","10041","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,274.00,3.00,,274.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10041,"WA",,
"129792","10042","OP",2014,"0",,,,,6,3,,,603,,"CD",,42,169.00,18.00,,169.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",119.00,,,,,,,,,,,,,,,,"Y",10042,"OR",,
"146262","10043","OP",2014,"0",,,,,6,9,,,609,,"CH",,67,341.00,3.00,,341.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10043,"OR",,
"90592","10044","OP",2014,"0",,,,,6,9,,,609,,,,34,131.00,4.00,,131.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10044,"OR",,
"89714","10045","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,2.00,1.00,,2.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10045,"OR",,
"128686","10046","OP",2014,"0",,,,,6,9,,,609,,"CH",,46,198.00,3.00,,198.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10046,"WA",,
"136223","10047","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,2.00,1.00,,2.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10047,"OR",,
"128059","10048","OP",2014,"0",,,,,6,3,,,603,,"CHF1-2",,34,192.00,2.00,,192.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10048,"WA",,
"146714","10049","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,20,81.00,3.00,,81.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10049,"OR",,
"80999","1005","OP",2014,"0",,,,,6,12,,,612,,"CDC714",,23,140.17,11.84,,224.93,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.85,,,,,,,,,,,,,,,,,1005,"OR",,
"85690","10050","OP",2014,"0",,,,,6,9,,,609,,"CHS334",,45,6.00,6.00,,6.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10050,"WA",,
"142331","10051","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,33.00,2.00,,33.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10051,"OR",,
"131025","10052","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,13,213.00,1.00,,213.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10052,"WA",,
"132448","10053","OP",2014,"0",,,,,6,9,,,609,,"CHS34",,23,168.00,7.00,,168.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10053,"WA",,
"142331","10054","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,28.00,1.00,,28.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10054,"WA",,
"146714","10055","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,20,8.00,3.00,,8.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10055,"OR",,
"84945","10056","OP",2014,"0",,,,,6,9,,,609,,"CSS8",,30,179.00,3.00,,179.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10056,"OR",,
"136223","10057","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,90.00,8.00,,90.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10057,"OR",,
"146714","10058","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,20,345.00,1.00,,345.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10058,"OR",,
"89133","10059","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,56.00,1.00,,56.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10059,"OR",,
"141592","1006","OP",2014,"0",,,,,6,12,,,612,,"CHS231",,35,143.68,13.41,,229.88,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.50,,,,,,,,,,,,,,,,,1006,"OR",,
"142312","10060","OP",2014,"0",,,,,6,9,,,609,,"CC",,87,126.00,1.00,,126.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10060,"OR",,
"85711","10061","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,19,19.00,1.00,,19.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10061,"OR",,
"87477","10062","OP",2014,"0",,,,,6,9,,,609,,,,14,46.00,8.00,,46.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",120.00,,,,,,,,,,,,,,,,"Y",10062,"OR",,
"89371","10063","OP",2014,"0",,,,,6,9,,,609,,"CF",,17,292.00,9.00,,292.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10063,"OR",,
"136223","10064","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,63.00,2.00,,63.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",120.00,,,,,,,,,,,,,,,,"Y",10064,"WA",,
"86559","10065","OP",2014,"0",,,,,6,9,,,609,,,,83,163.00,3.00,,163.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10065,"OR",,
"142331","10066","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,229.00,10.00,,229.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10066,"OR",,
"89133","10067","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,248.00,4.00,,248.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10067,"WA",,
"87477","10068","OP",2014,"0",,,,,6,9,,,609,,,,14,29.00,6.00,,29.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10068,"WA",,
"150367","10069","OP",2014,"0",,,,,6,9,,,609,,"CSF",,40,183.00,6.00,,183.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10069,"OR",,
"344","1007","OP",2014,"0",,,,,6,12,,,612,,"n.a.",,17,122.41,10.14,,209.75,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.80,,,,,,,,,,,,,,,,,1007,"OR",,
"89133","10070","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,200.00,1.00,,200.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10070,"OR",,
"150824","10071","OP",2014,"0",,,,,6,9,,,609,,"CHS131",,24,53.00,1.00,,53.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10071,"WA",,
"86601","10072","OP",2014,"0",,,,,6,9,,,609,,"CHS621",,23,183.00,1.00,,183.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10072,"OR",,
"89889","10073","OP",2014,"0",,,,,6,3,,,603,,"HCD1",,74,281.00,8.00,,281.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10073,"OR",,
"142283","10074","OP",2014,"0",,,,,6,9,,,609,,"CS",,32,135.00,1.00,,135.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10074,"OR",,
"142331","10075","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,190.00,1.00,,190.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10075,"OR",,
"89371","10076","OP",2014,"0",,,,,6,9,,,609,,"CF",,17,183.00,3.00,,183.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10076,"WA",,
"86559","10077","OP",2014,"0",,,,,6,9,,,609,,,,83,9.00,1.00,,9.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10077,"OR",,
"85374","10078","OP",2014,"0",,,,,6,3,,,603,,"CHF125",,20,162.00,4.00,,162.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10078,"OR",,
"88939","10079","OP",2014,"0",,,,,6,3,,,603,,"HA",,44,30.00,13.00,,30.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10079,"OR",,
"317","1008","OP",2014,"0",,,,,6,3,,,603,,"n.a.",,31,250.05,10.61,,249.01,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.76,,,,,,,,,,,,,,,,,1008,"OR",,
"88478","10081","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,13,360.00,1.00,,360.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10081,"OR",,
"136223","10082","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,203.00,1.00,,203.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10082,"OR",,
"142283","10083","OP",2014,"0",,,,,6,9,,,609,,"CS",,32,60.00,2.00,,60.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10083,"OR",,
"132448","10084","OP",2014,"0",,,,,6,9,,,609,,"CHS34",,23,87.00,5.00,,87.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10084,"WA",,
"85690","10085","OP",2014,"0",,,,,6,9,,,609,,"CHS334",,45,166.00,18.00,,166.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10085,"WA",,
"142331","10086","OP",2014,"0",,,,,6,9,,,609,,"CH",,54,341.00,1.00,,341.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10086,"OR",,
"85711","10087","OP",2014,"0",,,,,6,9,,,609,,"CSF111",,19,209.00,1.00,,209.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10087,"WA",,
"89714","10088","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,339.00,1.00,,339.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10088,"OR",,
"83939","1009","OP",2014,"0",,,,,6,3,,,603,,"CHS423",,42,123.83,8.15,,216.09,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.50,,,,,,,,,,,,,,,,,1009,"OR",,
"89959","10090","OP",2014,"0",,,,,6,3,,,603,,"CHF4",,6,161.00,5.00,,161.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10090,"OR",,
"142283","10091","OP",2014,"0",,,,,6,9,,,609,,"CS",,32,358.00,2.00,,358.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10091,"WA",,
"86559","10092","OP",2014,"0",,,,,6,9,,,609,,,,83,118.00,4.00,,118.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10092,"OR",,
"86559","10094","OP",2014,"0",,,,,6,9,,,609,,,,83,43.00,16.00,,43.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10094,"WA",,
"133810","10095","OP",2014,"0",,,,,6,9,,,609,,"CHS335",,70,6.00,2.00,,6.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10095,"WA",,
"89714","10096","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,360.00,2.00,,360.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10096,"WA",,
"87477","10097","OP",2014,"0",,,,,6,9,,,609,,,,14,105.00,6.00,,105.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10097,"OR",,
"89714","10098","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,17.00,1.00,,17.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10098,"WA",,
"86265","10099","OP",2014,"0",,,,,6,3,,,603,,"HC",,65,101.00,6.00,,101.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10099,"OR",,
"30239","101","OP",2014,"0",,,,,6,12,,,612,,"CHF122",,47,268.11,26.44,,311.05,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",119.00,,,,,,,,,,,,,,,,,101,"OR",,
"323","1010","OP",2014,"0",,,,,6,3,,,603,,"n.a.",,25,258.08,14.51,,253.60,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.85,,,,,,,,,,,,,,,,,1010,"OR",,
"142283","10102","OP",2014,"0",,,,,6,9,,,609,,"CS",,32,206.00,2.00,,206.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10102,"OR",,
"142390","10103","OP",2014,"0",,,,,6,9,,,609,,"CC",,174,185.00,8.00,,185.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10103,"OR",,
"84526","10104","OP",2014,"0",,,,,6,9,,,609,,"CH",,17,180.00,5.00,,180.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10104,"OR",,
"146343","10105","OP",2014,"0",,,,,6,3,,,603,,"CH",,11,167.00,2.00,,167.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.00,,,,,,,,,,,,,,,,"Y",10105,"OR",,
"84951","10106","OP",2014,"0",,,,,6,9,,,609,,"CHS139",,110,77.00,16.00,,77.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10106,"WA",,
